timestamp,unique_device_id,pc_name,model_type,parameters,prediction,execution_time_sec,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,total_energy_kwh,total_emissions_kg,cpu_usage_pct,gpu_model,ram_usage_pct,cpu_clock_mhz,memory_footprint_mb
2026-02-03 13:47:56,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,CNN,225034,2,0.006,1.3734229158015095e-07,0.0,5.704166639285783e-08,1.943839579730088e-07,7.153478443512195e-08,0.0,NVIDIA GeForce RTX 4070,58.3,3400.0,695.56640625
2026-02-03 13:49:29,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,CNN,225034,4,0.1473,1.8180390287953844e-06,5.975004780944815e-07,8.533594444290631e-07,3.268898951318929e-06,1.202979835688219e-06,0.0,NVIDIA GeForce RTX 4070,57.9,3400.0,687.609375
2026-02-03 13:49:40,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,CNN,225034,6,0.0069,2.0097777709856422e-07,0.0,7.785055527670516e-08,2.7882833237526937e-07,1.0261096058986009e-07,0.0,NVIDIA GeForce RTX 4070,57.9,3400.0,689.921875
2026-02-03 13:49:49,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,CNN,225034,3,0.007,1.2153701439577467e-07,2.872224520444888e-07,5.495833336479134e-08,4.637177998050548e-07,1.706516998300329e-07,100.0,NVIDIA GeForce RTX 4070,57.8,3400.0,690.4140625
2026-02-03 13:50:09,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,CNN,225034,1,0.0071,1.5388777861112937e-07,0.0,6.653944470195307e-08,2.2042722331308244e-07,8.111890542697631e-08,0.0,NVIDIA GeForce RTX 4070,57.8,3400.0,690.57421875
2026-02-03 13:50:47,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,CNN,225034,4,0.007,1.917304851101815e-07,0.0,7.891333273922404e-08,2.7064381784940556e-07,9.959899659643689e-08,0.0,NVIDIA GeForce RTX 4070,58.1,3400.0,690.55859375
2026-02-03 13:51:01,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,CNN,225034,5,0.0,1.2451791650770855e-07,0.0,5.534555530175567e-08,1.7986347180946422e-07,6.619113438069428e-08,0.0,NVIDIA GeForce RTX 4070,57.9,3400.0,690.765625
2026-02-03 13:51:15,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,DNN,567434,8,0.006,1.2807611055905e-07,0.0,5.660277739581135e-08,1.8467888795486135e-07,6.796324438153201e-08,0.0,NVIDIA GeForce RTX 4070,58.0,3400.0,694.1875
2026-02-03 13:51:22,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,DNN,567434,5,0.0,1.1986534736934118e-07,0.0,5.458888869422178e-08,1.7445423606356296e-07,6.420049422151236e-08,0.0,NVIDIA GeForce RTX 4070,58.1,3400.0,694.9140625
2026-02-03 13:51:30,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,DNN,567434,7,0.0041,1.5487118063093579e-07,0.0,6.212166691612867e-08,2.1699284754706445e-07,7.985502885684588e-08,0.0,NVIDIA GeForce RTX 4070,58.1,3400.0,695.1875
2026-02-03 13:51:42,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,DNN,567434,6,0.003,7.749284769589496e-08,0.0,3.361388937466674e-08,1.111067370705617e-07,4.0888129702225856e-08,0.0,NVIDIA GeForce RTX 4070,58.1,3400.0,695.1953125
2026-02-03 13:51:53,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,DNN,567434,9,0.003,1.390352087683924e-07,2.7388910806003253e-07,5.065111132959525e-08,4.635754281580202e-07,1.705993059741484e-07,0.0,NVIDIA GeForce RTX 4070,58.1,3400.0,695.31640625
2026-02-03 13:52:02,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,CNN,225034,8,0.0089,1.3721125029001593e-07,0.0,6.048833343407346e-08,1.976995837240894e-07,7.27549600907901e-08,0.0,NVIDIA GeForce RTX 4070,58.1,3400.0,695.12109375
2026-02-03 13:52:10,10dbfbe4-6095-46e4-bfec-4d1abf94471a,CS-543236,CNN,225034,5,0.009,1.5048777883445533e-07,0.0,6.794666664467918e-08,2.1843444547913452e-07,8.038554793047782e-08,0.0,NVIDIA GeForce RTX 4070,58.1,3400.0,695.47265625
